;D0.2.1.2.1;;;;;G0.2.2.3.2.2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agro-carburants et autres produits de la biomasse;D0.2.1.3.4;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 0,04 ; 0,04 ; 0,04 ; 0,05 ; 0,04 ; 0,05 ; 0,05 ; 0,06 ; 0,06 ; 0,06 ; 0,06 ; 0,06 ; 0,06 ; 0,06 ; 0,07 ; 0,08 ; 0,09 ; 0,12 ; 0,16 ; 0,14 ; 0,14 ; 0,16 ; 0,21 ; 0,21 ; 0,23 ; 0,24 ; 0,24 ; 0,25 ; 0,25 ; 0,25 ; 0,23 ; 0,24 ; 0,22 ; 0,22 
Emissions non liées aux combustibles - hors UTCATF;D0.2.1.3.5;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 171,18 ; 170,26 ; 168,25 ; 164,95 ; 164,97 ; 164,71 ; 166,48 ; 168,12 ; 163,78 ; 161,03 ; 163,08 ; 162,23 ; 162,21 ; 158,91 ; 159,47 ; 158,70 ; 160,72 ; 162,04 ; 159,38 ; 147,30 ; 148,35 ; 146,46 ; 143,19 ; 142,09 ; 142,33 ; 139,33 ; 138,38 ; 139,87 ; 135,97 ; 131,29 ; 123,60 ; 123,57 ; 117,52 ; 113,66 
UTCATF;D0.2.1.3.6;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;;-18,29 ;-18,46 ;-17,28 ;-21,55 ;-19,34 ;-22,43 ;-30,04 ;-31,27 ;-34,51 ;-39,40 ;-23,06 ;-37,57 ;-47,31 ;-51,93 ;-53,74 ;-52,79 ;-52,13 ;-47,82 ;-46,53 ;-34,97 ;-36,64 ;-37,71 ;-41,20 ;-46,03 ;-39,69 ;-36,37 ;-30,31 ;-19,44 ;-24,38 ;-18,61 ;-21,35 ;-19,05 ;-18,50 ;-20,65 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Production d'électricité;D0.2.1.2.1.1;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 41,35 ; 41,47 ; 42,41 ; 30,14 ; 26,63 ; 29,23 ; 32,62 ; 28,73 ; 41,29 ; 34,93 ; 34,45 ; 27,67 ; 31,42 ; 34,48 ; 32,90 ; 38,70 ; 34,40 ; 34,77 ; 33,77 ; 33,26 ; 34,47 ; 27,65 ; 30,54 ; 30,69 ; 19,13 ; 21,39 ; 24,96 ; 29,25 ; 21,22 ; 19,93 ; 17,68 ; 19,82 ; 21,87 ; 14,45 
Chauffage urbain;D0.2.1.2.1.2;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 6,02 ; 6,74 ; 6,60 ; 6,57 ; 6,18 ; 6,15 ; 6,95 ; 6,54 ; 6,55 ; 6,43 ; 6,41 ; 6,53 ; 6,61 ; 6,80 ; 6,94 ; 6,78 ; 6,88 ; 6,44 ; 6,64 ; 5,97 ; 6,50 ; 8,12 ; 9,46 ; 7,79 ; 5,66 ; 6,49 ; 6,63 ; 6,58 ; 5,79 ; 5,70 ; 5,39 ; 5,16 ; 3,80 ; 3,61 
Raffinage du pétrole;D0.2.1.2.1.3;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 15,25 ; 15,53 ; 15,69 ; 15,69 ; 16,39 ; 16,54 ; 17,34 ; 18,15 ; 17,92 ; 17,18 ; 17,21 ; 17,31 ; 16,43 ; 16,40 ; 16,81 ; 16,91 ; 17,35 ; 17,50 ; 17,60 ; 16,64 ; 14,78 ; 14,31 ; 11,72 ; 10,95 ; 10,88 ; 10,46 ; 10,19 ; 9,61 ; 9,10 ; 8,71 ; 7,19 ; 6,52 ; 6,76 ; 7,19 
Transformation des combustibles minéraux solides;D0.2.1.2.1.4;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 4,18 ; 4,19 ; 4,21 ; 3,83 ; 3,73 ; 3,76 ; 3,69 ; 3,55 ; 3,88 ; 3,94 ; 3,89 ; 3,73 ; 3,60 ; 3,58 ; 3,41 ; 3,19 ; 3,17 ; 3,11 ; 3,01 ; 2,74 ; 2,98 ; 2,94 ; 2,70 ; 2,81 ; 2,96 ; 2,94 ; 2,86 ; 2,97 ; 2,93 ; 2,85 ; 2,12 ; 2,17 ; 2,20 ; 1,80 
Extraction et distribution de combustibles solides;D0.2.1.2.1.5;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 5,35 ; 4,97 ; 5,19 ; 5,42 ; 5,54 ; 5,49 ; 4,17 ; 3,55 ; 3,45 ; 3,27 ; 2,25 ; 2,02 ; 1,34 ; 1,28 ; 0,75 ; 0,41 ; 0,26 ; 0,04 ; 0,04 ; 0,04 ; 0,04 ; 0,03 ; 0,01 ; 0,02 ; 0,01 ; 0,01 ; 0,01 ; 0,01 ; 0,01 ; 0,01 ; 0,01 ; 0,00 ; 0,00 ; 0,00 
Extraction et distribution de combustibles liquides;D0.2.1.2.1.6;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 0,48 ; 0,46 ; 0,45 ; 0,44 ; 0,44 ; 0,39 ; 0,34 ; 0,29 ; 0,27 ; 0,25 ; 0,23 ; 0,22 ; 0,21 ; 0,20 ; 0,18 ; 0,18 ; 0,17 ; 0,16 ; 0,16 ; 0,14 ; 0,14 ; 0,14 ; 0,13 ; 0,13 ; 0,12 ; 0,13 ; 0,13 ; 0,12 ; 0,12 ; 0,12 ; 0,10 ; 0,10 ; 0,09 ; 0,10 
